_id,name,address,category,noiseLevel,groupFriendly,hours,description,status,pos,createdBy,createdAt
97,Gigaclub,36 Upham Point,Cafe,Loud,Not Group Friendly,24 hour,"Crisp and sweet Honeycrisp apples, freshly picked.",,5.8978018,97,7/9/2025
98,Vidoo,60765 Moose Lane,Residence,Moderate,Not Group Friendly,24 hour,Sturdy grip to hold your phone securely while taking selfies.,,27.5126688,98,10/10/2025
99,Brightdog,61 Marcy Court,Library,Quiet,Group Friendly,8:00am - 6:00pm,Hearty tomato soup made from organic ingredients.,,-68.1435063,99,1/25/2026
100,Jaloo,51 Melody Avenue,Residence,Quiet,Group Friendly,11:00am - 5:00pm,Comfortable and reusable face masks in different styles.,,-57.6000001,100,7/14/2025
101,Voonte,086 Hollow Ridge Junction,Student Center,Loud,Not Group Friendly,8:00am - 6:00pm,Stay warm with this stylish knit beanie in various colors.,,44.5593439,101,11/15/2025
102,Yodel,61 Green Place,Academic,Quiet,Not Group Friendly,24 hour,Silicone tray for making ice cubes with a lid to prevent spills.,,105.8180306,102,11/29/2025
103,Camido,44 Tomscot Park,Academic,Quiet,Not Group Friendly,11:00am - 5:00pm,Crunchy granola with cranberries and pecans.,,141.5321435,103,11/7/2025
104,Topiclounge,994 Harbort Street,Library,Moderate,Group Friendly,8:00am - 6:00pm,Sleek and protective sleeve for laptops and tablets.,,-118.1766294,104,8/8/2025
105,Lazz,268 Jana Park,Library,Moderate,Group Friendly,8:00am - 6:00pm,8oz water bottle with built-in filter for clean drinking water.,,123.33769,105,1/11/2026
106,Camimbo,756 Forest Parkway,Academic,Moderate,Group Friendly,24 hour,Compact air compressor for inflating tires and sports equipment.,,-65.0008536,106,12/15/2025
107,Eimbee,16 Cherokee Hill,Residence,Loud,Group Friendly,11:00am - 5:00pm,Comfortable and adjustable harness for dogs.,,116.0761121,107,1/8/2026
108,Rhyzio,4 Mallard Street,Student Center,Moderate,Not Group Friendly,24 hour,Monthly subscription for freshly roasted coffee delivered to your door.,,122.4801854,108,7/10/2025
109,Leexo,842 Kim Place,Library,Loud,Group Friendly,8:00am - 6:00pm,Powerful hand blender for soups and smoothies.,,90.2905901,109,4/3/2025
110,Abatz,7 Kingsford Circle,Residence,Quiet,Group Friendly,8:00am - 6:00pm,Eco-friendly bamboo holder for toothbrushes.,,115.5856047,110,1/24/2026
111,Topicblab,98 Mifflin Alley,Student Center,Quiet,Not Group Friendly,11:00am - 5:00pm,Natural fruit spread bursting with real strawberry flavor.,,121.42076,111,10/2/2025
112,Voomm,17 Coleman Hill,Residence,Quiet,Group Friendly,8:00am - 6:00pm,Energy-efficient window air conditioner for cooling.,,109.5463954,112,5/17/2025
113,Rhynoodle,15 Corben Drive,Library,Quiet,Not Group Friendly,11:00am - 5:00pm,Ziti pasta baked with marinara and parmesan cheese,,-56.0500846,113,10/12/2025
114,Edgeify,8945 Daystar Lane,Residence,Quiet,Group Friendly,8:00am - 6:00pm,Fun instruments to introduce kids to music.,,2.0308233,114,1/4/2026
115,Jabbersphere,7 Susan Plaza,Cafe,Quiet,Not Group Friendly,8:00am - 6:00pm,Elegant cover that protects your notebook with style.,,20.1194129,115,7/1/2025
116,Realcube,2 Bonner Road,Academic,Moderate,Group Friendly,11:00am - 5:00pm,Wi-Fi-enabled digital frame for displaying photos.,,-63.9004303,116,5/23/2025
117,Minyx,06133 Becker Avenue,Library,Moderate,Not Group Friendly,24 hour,Nutritious bars packed with protein for energy,,115.1281425,117,7/13/2025
118,Snaptags,645 Beilfuss Park,Academic,Quiet,Not Group Friendly,11:00am - 5:00pm,500-piece jigsaw puzzle featuring beautiful scenery.,,-8.6325611,118,11/12/2025
119,Eayo,158 Pawling Point,Cafe,Quiet,Not Group Friendly,24 hour,Set of flexible molds for baking cakes and pastries.,,-1.235807,119,12/29/2025
120,Shuffletag,18 Karstens Alley,Student Center,Quiet,Not Group Friendly,11:00am - 5:00pm,Gluten-free bread mix made with almond flour.,,111.9671537,120,6/19/2025
121,Thoughtsphere,2073 Main Terrace,Cafe,Quiet,Group Friendly,24 hour,Flexible light strips for creative home decor.,,-49.8004866,121,10/9/2025
122,Photobean,4507 Reinke Court,Library,Quiet,Not Group Friendly,8:00am - 6:00pm,Electric kettle that offers precise temperature settings.,,105.298756,122,9/9/2025
123,Jetwire,1 Summer Ridge Trail,Cafe,Loud,Group Friendly,11:00am - 5:00pm,"Rich spaghetti sauce, a perfect pasta sauce.",,106.221144,123,10/16/2025
124,Feedbug,4031 David Crossing,Student Center,Quiet,Group Friendly,8:00am - 6:00pm,"Delicious vegetable dumplings, perfect for steaming or frying.",,16.6212715,124,11/10/2025
125,Thoughtbeat,4977 Oak Junction,Library,Quiet,Not Group Friendly,24 hour,Thermos that tracks your water intake and temperature.,,-44.9693894,125,7/12/2025
126,Voonyx,0418 Butternut Center,Library,Loud,Not Group Friendly,8:00am - 6:00pm,A sweet and spicy sauce for dipping or cooking.,,-70.6977162,126,5/10/2025
127,Skalith,4 Haas Street,Cafe,Quiet,Not Group Friendly,8:00am - 6:00pm,Reusable microfiber cloths for environmentally friendly cleaning.,,23.2572455,127,10/1/2025
128,Feedfire,01779 Claremont Lane,Library,Quiet,Not Group Friendly,11:00am - 5:00pm,Bottle with infuser for brewing loose-leaf tea on the go.,,15.290983,128,8/14/2025
129,Meembee,425 Main Trail,Library,Moderate,Not Group Friendly,24 hour,Stylish desk lamp featuring a USB charging port.,,-24.354942,129,11/13/2025
130,Avavee,35209 Straubel Way,Academic,Loud,Not Group Friendly,24 hour,"Pre-seasoned beef mix for delicious tacos, just heat and serve.",,68.9509787,130,3/13/2026
131,Yakitri,43791 Graedel Park,Student Center,Loud,Not Group Friendly,11:00am - 5:00pm,Stylish smartwatch with fitness tracking and notifications.,,30.317148,131,5/3/2025
132,Aimbo,44367 Green Ridge Park,Library,Loud,Not Group Friendly,8:00am - 6:00pm,"Nutty, crunchy pecans great for baking.",,107.020589,132,1/29/2026
133,Vimbo,40559 Eggendart Place,Library,Loud,Not Group Friendly,11:00am - 5:00pm,Delicious cookies packed with oats and raisins.,,-7.2598913,133,5/31/2025
134,Gabspot,1 Duke Court,Student Center,Loud,Group Friendly,8:00am - 6:00pm,Elegant classic pumps that add sophistication to any outfit.,,-57.1154122,134,5/17/2025
135,Bluezoom,84 Debra Crossing,Academic,Moderate,Not Group Friendly,11:00am - 5:00pm,Flavored aioli made with roasted garlic,,37.5884971,135,5/22/2025
136,Pixoboo,62 Gerald Crossing,Academic,Moderate,Not Group Friendly,24 hour,A hearty vegetable curry for a quick and satisfying meal.,,100.6985155,136,6/22/2025
137,Browsetype,1 Gale Plaza,Academic,Moderate,Not Group Friendly,11:00am - 5:00pm,Blender designed for smoothies and shakes on the go.,,11.9070339,137,1/4/2026
138,Browsezoom,90590 School Center,Academic,Moderate,Not Group Friendly,11:00am - 5:00pm,Jump rope that counts your jumps for tracking workouts.,,108.7766309,138,7/13/2025
139,Jaxnation,23797 Cascade Pass,Student Center,Moderate,Not Group Friendly,8:00am - 6:00pm,Ready-to-drink shots made with fresh ginger and turmeric.,,123.6602783,139,2/23/2026
140,Centimia,3 Di Loreto Crossing,Residence,Moderate,Not Group Friendly,8:00am - 6:00pm,Marinated beef strips in teriyaki sauce for easy grilling.,,8.5721016,140,5/28/2025
141,Cogidoo,48 Main Alley,Academic,Loud,Group Friendly,8:00am - 6:00pm,Durable training soccer ball for practice.,,104.195397,141,2/17/2026
142,Flashdog,2100 Crest Line Place,Cafe,Loud,Not Group Friendly,24 hour,Crispy and sweet dried apple slices,,27.10324,142,8/1/2025
143,Tagpad,6 Lunder Way,Library,Quiet,Not Group Friendly,11:00am - 5:00pm,Illuminated vanity mirror with adjustable brightness settings.,,113.366904,143,6/28/2025
144,Youfeed,862 Esker Plaza,Library,Loud,Group Friendly,24 hour,All ingredients included for delicious chicken fajitas.,,122.0496521,144,9/9/2025
145,Trunyx,444 Sommers Parkway,Student Center,Loud,Group Friendly,8:00am - 6:00pm,Fun and colorful gardening tools designed for children.,,114.029327,145,3/26/2025
146,Mita,44 Ridge Oak Court,Library,Moderate,Group Friendly,11:00am - 5:00pm,GPS collar that monitors your pet's location and activity level.,,33.6744583,146,4/6/2025
147,Bubblebox,06 Sommers Trail,Cafe,Quiet,Not Group Friendly,8:00am - 6:00pm,Indoor putting green for practicing your putting skills.,,126.0932341,147,11/28/2025
148,Vimbo,14 Warrior Circle,Cafe,Quiet,Not Group Friendly,8:00am - 6:00pm,Fresh and crunchy baby carrots ready for snacking.,,117.419998,148,12/11/2025
149,Realpoint,6 Dayton Circle,Academic,Moderate,Not Group Friendly,11:00am - 5:00pm,Rich and flavorful pasta sauce made with ripe tomatoes and basil.,,39.645666,149,7/24/2025
150,Oozz,7 1st Pass,Academic,Quiet,Not Group Friendly,24 hour,Monthly subscription for freshly roasted coffee delivered to your door.,,-12.9176518,150,1/17/2026
151,Yadel,717 Spaight Street,Residence,Loud,Not Group Friendly,24 hour,Ceramic pizza stone for homemade pizzas.,,30.3839017,151,6/5/2025
152,Digitube,01 Derek Drive,Cafe,Quiet,Not Group Friendly,11:00am - 5:00pm,Natural air purifiers to absorb odors and moisture.,,106.979574,152,4/9/2025
153,Jabbercube,80 1st Center,Cafe,Moderate,Group Friendly,24 hour,Ergonomically designed pillow with breathable bamboo cover.,,22.9045174,153,5/10/2025
154,Flashdog,44372 Comanche Pass,Residence,Loud,Group Friendly,11:00am - 5:00pm,Double-sided art easel for painting and drawing.,,44.3930377,154,12/13/2025
155,Realbuzz,07 Fairview Trail,Cafe,Quiet,Group Friendly,11:00am - 5:00pm,Automated cleaning robot for hassle-free home maintenance.,,123.769227,155,3/14/2026
156,Jatri,65893 Pine View Place,Residence,Loud,Not Group Friendly,24 hour,Flexible LED lights for creative home lighting designs.,,20.6883184,156,6/16/2025
157,Agimba,758 Cambridge Street,Library,Moderate,Group Friendly,11:00am - 5:00pm,Effective brush for removing loose hair from pets.,,136.73393,157,2/16/2026
158,Jabberstorm,008 Village Place,Academic,Moderate,Not Group Friendly,8:00am - 6:00pm,"Crunchy, toasted coconut chips for snacking.",,42.5992867,158,9/7/2025
159,Kazu,0008 Del Mar Court,Cafe,Loud,Not Group Friendly,24 hour,Absorbent training pads for puppies and kittens.,,-79.4703885,159,1/11/2026
160,Youopia,25276 Hudson Crossing,Academic,Loud,Not Group Friendly,11:00am - 5:00pm,"Crunchy pretzels coated in rich chocolate, a sweet treat.",,111.3679689,160,8/26/2025
161,Gigazoom,268 Main Park,Residence,Quiet,Not Group Friendly,11:00am - 5:00pm,Secure phone mount for your vehicle's dashboard.,,125.182333,161,6/18/2025
162,Kare,14177 Redwing Court,Residence,Loud,Group Friendly,8:00am - 6:00pm,Eco-friendly LED lights for festive decorations.,,7.5655743,162,10/16/2025
163,Mynte,54 Spaight Crossing,Student Center,Moderate,Not Group Friendly,11:00am - 5:00pm,Tangy sweet chili sauce perfect for dipping or cooking.,,13.1018168,163,1/18/2026
164,Feednation,01 Hansons Lane,Library,Quiet,Not Group Friendly,24 hour,All-in-one kit for making delicious chicken salad.,,10.7048554,164,3/1/2026
165,Demivee,2093 Arrowood Lane,Cafe,Quiet,Not Group Friendly,8:00am - 6:00pm,Wi-Fi camera with motion detection for home security.,,20.3835279,165,9/30/2025
166,Yozio,393 Hagan Court,Library,Loud,Not Group Friendly,8:00am - 6:00pm,Custom cutting board made from high-quality wood.,,101.503572,166,3/9/2026
167,Yakidoo,60 School Park,Cafe,Loud,Not Group Friendly,11:00am - 5:00pm,"Deliciously creamy spinach dip, perfect for parties.",,19.6209662,167,8/11/2025
168,Skippad,17 Kings Terrace,Academic,Loud,Not Group Friendly,8:00am - 6:00pm,Freshly roasted coffee beans with rich flavor.,,29.2407915,168,10/25/2025
169,Jaxspan,931 Buhler Circle,Student Center,Moderate,Not Group Friendly,24 hour,Creamy soup full of rich mushroom flavor.,,15.5151157,169,2/16/2026
170,Oodoo,44 Merchant Center,Library,Loud,Not Group Friendly,24 hour,"Savory hash made with sweet potatoes and kale, a perfect side dish.",,-2.8935028,170,5/5/2025
